# Data for 5 runs. Last column is the average.
0	5	3	5	3	1	3.4
1	4	5	1	1	2	2.6
2	5	1	3	1	2	2.4
3	3	4	3	5	5	4.0
4	1	2	2	1	5	2.2
5	6	1	4	3	2	3.2
6	1	2	3	3	4	2.6
7	5	3	9	2	2	4.2
8	1	4	1	0	2	1.6
9	4	3	5	3	3	3.6
10	4	3	4	5	5	4.2
11	5	4	0	2	5	3.2
12	3	3	2	2	3	2.6
13	3	2	3	2	5	3.0
14	3	4	6	3	3	3.8
15	4	2	4	3	1	2.8
16	3	4	3	6	1	3.4
17	5	3	3	4	3	3.6
18	3	3	5	3	4	3.6
19	5	3	6	2	0	3.2
20	7	8	4	3	6	5.6
21	4	2	4	1	1	2.4
22	2	3	5	5	5	4.0
23	4	5	2	4	3	3.6
24	6	3	3	3	5	4.0
25	4	4	1	3	5	3.4
26	3	2	5	0	2	2.4
27	3	1	3	5	5	3.4
28	2	2	3	1	2	2.0
29	7	4	2	3	8	4.8
30	4	3	2	6	4	3.8
31	3	2	4	5	3	3.4
32	4	1	2	3	6	3.2
33	9	5	4	1	2	4.2
34	5	5	4	7	4	5.0
35	2	2	2	1	5	2.4
36	4	5	4	5	5	4.6
37	2	4	1	4	4	3.0
38	3	1	4	3	0	2.2
39	4	3	1	4	2	2.8
40	5	2	8	2	3	4.0
41	6	2	7	2	4	4.2
42	3	3	4	5	4	3.8
43	8	4	3	1	2	3.6
44	5	3	3	1	3	3.0
45	4	1	2	2	3	2.4
46	3	4	3	3	2	3.0
47	4	6	4	3	3	4.0
48	7	6	2	5	5	5.0
49	0	10	4	5	5	4.8

